episode, time, avg_reward, avg_loss
===========================================2019-06-15 22:01:34.173658
0,2019-06-15_22h-8m,3750.0,2158166.075
===========================================2019-06-15 22:13:26.512402
0,2019-06-15_22h-19m,3666.0,2370914.678125
1,2019-06-15_22h-25m,3636.0,869297.26875
2,2019-06-15_22h-31m,3612.0,306648.5640625
3,2019-06-15_22h-37m,3636.0,194165.834375
4,2019-06-15_22h-43m,3636.0,186414.96875
5,2019-06-15_22h-49m,3696.0,196915.6515625
6,2019-06-15_22h-56m,3684.0,257438.7046875
7,2019-06-15_23h-2m,3660.0,300545.9703125
8,2019-06-15_23h-8m,3696.0,239512.534375
9,2019-06-15_23h-14m,3660.0,255929.30625
10,2019-06-15_23h-20m,3648.0,249066.559375
11,2019-06-15_23h-26m,3648.0,517565.6140625
12,2019-06-15_23h-32m,3684.0,437106.809375
13,2019-06-15_23h-39m,3654.0,365897.109375
14,2019-06-15_23h-45m,3648.0,487326.9
15,2019-06-15_23h-50m,3648.0,490083.5
16,2019-06-15_23h-56m,3654.0,737243.571875
17,2019-06-16_0h-2m,3636.0,735109.85
18,2019-06-16_0h-8m,3606.0,922706.778125
19,2019-06-16_0h-15m,3666.0,812007.8625
20,2019-06-16_0h-21m,3666.0,1016330.4625
21,2019-06-16_0h-27m,3786.0,1373578.15625
===========================================2019-06-16 00:36:09.438173
0,2019-06-16_0h-42m,4050.0,1339115.8875
1,2019-06-16_0h-48m,4146.0,3935510.921875
2,2019-06-16_0h-54m,4212.0,734482.66875
3,2019-06-15_22h-1m,4152.0,385948.83125
4,2019-06-15_22h-6m,4122.0,297413.609375
5,2019-06-15_22h-12m,4140.0,259733.3796875
6,2019-06-15_22h-18m,4200.0,316485.025
7,2019-06-15_22h-25m,4080.0,400674.540625
8,2019-06-15_22h-31m,4182.0,404591.096875
9,2019-06-15_22h-37m,4146.0,432531.20625
10,2019-06-15_22h-44m,4194.0,496910.7375
11,2019-06-15_22h-50m,4128.0,626285.296875
12,2019-06-15_22h-56m,4206.0,664424.16875
13,2019-06-15_23h-3m,4182.0,807021.06875
14,2019-06-15_23h-9m,4200.0,960193.24375
15,2019-06-15_23h-15m,4116.0,948967.809375
16,2019-06-15_23h-21m,4170.0,1436611.95625
17,2019-06-15_23h-28m,4146.0,1352642.475
18,2019-06-15_23h-34m,4062.0,1580015.7125
19,2019-06-15_23h-40m,4194.0,2188435.4625
20,2019-06-15_23h-47m,4134.0,2206452.9125
21,2019-06-15_23h-53m,4212.0,2766506.21875
22,2019-06-15_23h-59m,4092.0,2499428.2
23,2019-06-16_0h-5m,4182.0,2925299.6875
24,2019-06-16_0h-12m,4176.0,2636454.725
25,2019-06-16_0h-18m,4194.0,2802904.925
26,2019-06-16_0h-24m,4176.0,2857488.575
27,2019-06-16_0h-31m,4206.0,3628416.225
28,2019-06-16_0h-37m,4212.0,3659308.875
29,2019-06-16_0h-43m,4170.0,3951822.9625
30,2019-06-16_0h-49m,4242.0,3208388.1125
31,2019-06-16_0h-56m,4140.0,3665253.8
32,2019-06-16_1h-2m,4344.0,3621761.475
33,2019-06-16_1h-8m,4158.0,4211248.125
34,2019-06-16_1h-15m,4140.0,4782512.1
35,2019-06-16_1h-21m,4188.0,5002933.25
36,2019-06-16_1h-27m,4170.0,4494487.1
37,2019-06-16_1h-34m,4074.0,5650354.925
38,2019-06-16_1h-40m,4218.0,5683144.9
39,2019-06-16_1h-46m,4146.0,5654724.15
40,2019-06-16_1h-52m,4098.0,7342278.85
41,2019-06-16_1h-59m,4224.0,6248789.1
42,2019-06-16_2h-5m,4110.0,6875133.35
43,2019-06-16_2h-11m,4158.0,7356009.375
44,2019-06-16_2h-18m,4188.0,6522190.775
45,2019-06-16_2h-24m,4188.0,10554466.65
46,2019-06-16_2h-30m,4158.0,8991426.2
47,2019-06-16_2h-37m,4164.0,11548421.0
48,2019-06-16_2h-43m,4116.0,9532986.35
49,2019-06-16_2h-49m,4140.0,10750860.55
===========================================2019-06-16 03:03:31.092929
0,2019-06-16_3h-9m,4056.0,3254028.43125
1,2019-06-16_3h-15m,4170.0,729176.990625
2,2019-06-16_3h-21m,4218.0,214670.7296875
3,2019-06-16_3h-27m,4080.0,83989.641015625
4,2019-06-16_3h-34m,4182.0,60449.18046875
